,Value,Count
0,|Argentina|Santa Fe|Rosario|,8504
1,|Argentina|Córdoba|Córdoba|,6606
2,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,6534
3,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,3315
4,|Argentina|Capital Federal|Belgrano|,2992
5,|Argentina|Capital Federal|Palermo|,2885
6,|Argentina|Córdoba|,2648
7,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,2359
8,|Argentina|Capital Federal|Caballito|,2273
9,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,1857
10,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|La Plata|,1767
11,|Argentina|Capital Federal|Villa Urquiza|,1629
12,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,1590
13,|Argentina|Capital Federal|Recoleta|,1547
14,|Argentina|Capital Federal|Flores|,1354
15,|Argentina|Capital Federal|Villa Crespo|,1331
16,|Argentina|Capital Federal|,1297
17,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Lomas de Zamora|,1253
18,|Argentina|Capital Federal|San Telmo|,1216
19,|Argentina|Capital Federal|Almagro|,1165
20,|Argentina|Capital Federal|Barrio Norte|,1140
21,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,1127
22,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,1058
23,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|,1037
24,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Banfield|,1007
25,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús|,971
26,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Tigre|,965
27,|Argentina|Buenos Aires Costa Atlántica|Pinamar|,932
28,|Argentina|Capital Federal|Boedo|,890
29,|Argentina|Capital Federal|Nuñez|,778
30,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|,767
31,|Argentina|Bs.As. G.B.A. Zona Sur|Almirante Brown|Adrogué|,734
32,|Argentina|Córdoba|Punilla|,713
33,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Temperley|,703
34,|Argentina|Capital Federal|Balvanera|,667
35,|Argentina|Capital Federal|Puerto Madero|,647
36,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,641
37,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Castelar|,640
38,|Argentina|Río Negro|San Carlos de Bariloche|San Carlos de Bariloche|,638
39,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Morón|,627
40,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Florida|,620
41,|Argentina|Capital Federal|San Cristobal|,614
42,|Argentina|Córdoba|Villa Carlos Paz|,612
43,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,604
44,|Argentina|Santa Fe|Santa Fe|,595
45,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|Villa Ballester|,588
46,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,582
47,|Argentina|Capital Federal|Saavedra|,542
48,|Argentina|Capital Federal|Monserrat|,538
49,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,532
50,|Argentina|Capital Federal|Floresta|,516
51,|Argentina|Corrientes|Ituzaingó|,508
52,|Argentina|Capital Federal|Villa del Parque|,488
53,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|Quilmes|,483
54,|Argentina|Buenos Aires Interior|Bahía Blanca|,480
55,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|,474
56,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,472
57,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Vicente López|,449
58,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|,437
59,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|,434
60,|Argentina|Capital Federal|Villa Luro|,432
61,|Argentina|Capital Federal|Barracas|,425
62,|Argentina|Capital Federal|Villa Devoto|,420
63,|Argentina|Capital Federal|Mataderos|,418
64,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|,417
65,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Caseros|,411
66,|Argentina|Capital Federal|Liniers|,408
67,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Beccar|,398
68,|Argentina|Capital Federal|Palermo|Palermo Soho|,394
69,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|,382
70,|Argentina|Bs.As. G.B.A. Zona Sur|Almirante Brown|Burzaco|,368
71,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,368
72,|Argentina|Misiones|Posadas|,365
73,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Villa Luzuriaga|,363
74,|Argentina|Tucumán|San Miguel de Tucumán|,362
75,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Ituzaingó|,358
76,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|La Lucila|,356
77,|Argentina|Capital Federal|Colegiales|,352
78,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|San Isidro|,349
79,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|Victoria|,346
80,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|San Miguel|,335
81,|Argentina|Capital Federal|Parque Patricios|,322
82,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Los Pingüinos Country Club|,317
83,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|City Bell|,317
84,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|San Justo|,308
85,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Remedios de Escalada|,306
86,|Argentina|Capital Federal|Congreso|,304
87,|Argentina|Buenos Aires Costa Atlántica|Villa Gesell|,300
88,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,295
89,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Ciudadela|,283
90,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|Barrio Los Alisos|,278
91,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|,276
92,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|Bella Vista|,273
93,|Argentina|Bs.As. G.B.A. Zona Oeste|Merlo|,271
94,|Argentina|Capital Federal|Coghlan|,259
95,|Argentina|Capital Federal|Retiro|,248
96,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Acassuso|,242
97,|Argentina|Bs.As. G.B.A. Zona Sur|Avellaneda|,238
98,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|Muñiz|,236
99,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|,232
100,|Argentina|Capital Federal|Palermo|Palermo Chico|,232
101,|Argentina|Neuquén|Confluencia|,231
102,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|Centro|,231
103,|Argentina|Bs.As. G.B.A. Zona Sur|Esteban Echeverría|Monte Grande|,228
104,|Argentina|Capital Federal|Chacarita|,227
105,|Argentina|Capital Federal|Centro / Microcentro|,223
106,|Argentina|Capital Federal|Boca|,223
107,|Argentina|Bs.As. G.B.A. Zona Norte|,222
108,|Argentina|Salta|Salta|,221
109,|Argentina|Buenos Aires Interior|Luján|Luján|,219
110,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|,216
111,|Argentina|Córdoba|Villa Allende|,211
112,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Valentín Alsina|,211
113,|Argentina|Bs.As. G.B.A. Zona Sur|Ezeiza|,211
114,|Argentina|Capital Federal|Constitución|,211
115,|Argentina|Buenos Aires Interior|Rivadavia|Roosevelt|,210
116,|Argentina|Bs.As. G.B.A. Zona Sur|Esteban Echeverría|,209
117,|Argentina|Bs.As. G.B.A. Zona Sur|Ezeiza|Canning|,208
118,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|San Fernando|,206
119,|Argentina|Capital Federal|Villa Lugano|,205
120,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|Manuel B Gonnet|,202
121,|Argentina|Capital Federal|Once|,198
122,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Rincón de Milberg|,198
123,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Belén de Escobar|,194
124,|Argentina|Tucumán|Yerba Buena|,191
125,|Argentina|Neuquén|Neuquén|,190
126,|Argentina|Capital Federal|San Nicolás|,187
127,|Argentina|Capital Federal|Villa Pueyrredón|,175
128,|Argentina|Bs.As. G.B.A. Zona Sur|Avellaneda|Avellaneda|,173
129,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Boulogne Sur Mer|,173
130,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Del Viso|,173
131,|Argentina|Capital Federal|Paternal|,173
132,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús Oeste|,172
133,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Munro|,172
134,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|El Palomar|,172
135,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Garín|,166
136,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Villa Bosch|,162
137,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Lomas del Mirador|,161
138,|Argentina|Córdoba|Santa María|,155
139,|Argentina|Mendoza|San Roque|,153
140,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Villa Sarmiento|,152
141,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|,149
142,|Argentina|Bs.As. G.B.A. Zona Sur|Almirante Brown|Jose Marmol|,148
143,|Argentina|Bs.As. G.B.A. Zona Sur|Esteban Echeverría|Canning|,148
144,|Argentina|Buenos Aires Interior|Luján|,147
145,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Llavallol|,147
146,|Argentina|Capital Federal|Parque Chacabuco|,146
147,|Argentina|Entre Ríos|Paraná|,144
148,|Argentina|Capital Federal|Las Cañitas|,143
149,|Argentina|Bs.As. G.B.A. Zona Oeste|Merlo|San Antonio De Padua|,141
