,barrio,price_usd_per_m2,surface_total_clean,rooms_clean,precios_nuevos,precios_aprox_usd_clean,amenities,estacionamiento,sum,pileta,parrilla,gimnasio,lavadero,solarium,quincho,baulera,terraza,expenses,floor_clean
0,Mataderos,1127.2727272727273,55.0,2.0,62000.0,62000.0,True,False,False,False,False,False,True,False,False,False,True,,100.0
2,Mataderos,1309.090909090909,55.0,2.0,72000.0,72000.0,True,False,False,False,False,False,True,False,False,False,False,,100.0
3,Liniers,,,3.0,95000.0,95000.0,False,False,False,False,False,False,False,False,False,False,True,,100.0
7,Belgrano,3066.666666666666,45.0,1.0,138000.0,138000.0,True,False,False,True,False,False,True,True,False,False,False,,100.0
8,Belgrano,3000.0,65.0,2.0,195000.0,195000.0,True,False,False,True,False,False,True,True,False,False,False,,100.0
13,Palermo,2234.0,50.0,1.0,111700.0,111700.0,True,False,True,True,False,True,False,True,False,False,True,,100.0
14,Palermo,3521.428571428572,42.0,1.0,147900.0,147900.0,True,False,True,True,False,True,False,True,False,False,False,,100.0
16,Mataderos,1707.142857142857,140.0,4.0,239000.0,239000.0,True,False,False,False,True,False,False,False,False,False,False,,100.0
19,Palermo,3365.384615384615,104.0,3.0,350000.0,350000.0,True,False,False,False,False,False,False,False,False,True,True,,100.0
21,Palermo,2292.372881355933,118.0,4.0,270500.0,270500.0,False,False,False,False,False,False,False,False,False,False,True,,100.0
29,Flores,1744.186046511628,43.0,2.0,75000.0,75000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
35,Boedo,1812.5,80.0,4.0,145000.0,145000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
38,Las Canitas,2181.818181818182,220.0,3.0,480000.0,480000.0,True,True,True,True,True,False,False,True,False,True,True,,100.0
47,Puerto Madero,875.0,80.0,,70000.0,70000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
48,Balvanera,1702.127659574468,141.0,5.0,240000.0,240000.0,True,True,False,False,False,False,False,False,False,True,True,,100.0
51,Boedo,1091.2698412698412,504.0,6.0,550000.0,550000.0,True,True,False,True,True,False,True,False,False,False,True,,100.0
52,Caballito,2200.0,50.0,3.0,110000.0,110000.0,True,False,False,False,False,False,True,False,False,True,False,,100.0
53,Caballito,1705.0,100.0,2.0,170500.0,170500.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
54,Caballito,2721.1111111111118,81.0,3.0,220410.0,220410.0,True,True,False,False,False,False,False,False,False,True,False,,100.0
55,Caballito,2750.3703703703704,81.0,3.0,222780.0,222780.0,True,True,False,False,False,False,False,False,False,True,False,,100.0
57,Belgrano,8333.333333333334,30.0,,250000.0,250000.0,True,True,False,False,False,False,False,False,False,False,False,,100.0
59,Caballito,1542.857142857143,70.0,3.0,108000.0,108000.0,True,False,False,False,False,False,True,False,False,False,False,,100.0
60,Nunez,3460.0,50.0,2.0,173000.0,173000.0,True,True,True,True,False,False,False,True,False,False,True,,100.0
66,Boedo,1918.421052631579,38.0,1.0,72900.0,72900.0,False,False,False,False,False,False,False,False,False,False,False,1200.0,100.0
97,San Telmo,,,1.0,80693.7009302711,79851.93,False,True,False,False,False,False,False,False,False,False,False,,100.0
98,Almagro,2198.0,50.0,2.0,109900.0,109900.0,True,True,True,True,True,False,False,True,False,False,True,1577.0,100.0
108,,944.4444444444443,180.0,,170000.0,170000.0,True,True,False,False,True,False,True,False,False,False,True,,100.0
110,,658.6021505376343,744.0,,490000.0,490000.0,True,True,False,True,True,False,False,True,True,False,False,,100.0
115,,611.1111111111112,720.0,,440000.0,440000.0,True,True,False,True,True,False,True,False,False,False,False,,100.0
119,,1600.0,200.0,,320000.0,320000.0,True,False,False,True,False,False,True,False,False,False,True,,100.0
120,Belgrano,,,3.0,178000.0,178000.0,True,True,False,False,False,False,True,False,False,False,False,,12.0
121,,1088.2352941176468,340.0,,370000.0,370000.0,True,False,False,True,False,False,True,False,False,False,False,,100.0
137,Colegiales,,133.0,6.0,249000.0,249000.0,True,False,False,False,False,False,False,False,False,False,True,,1.0
141,Floresta,365.83333333333326,600.0,3.0,219500.0,219500.0,True,False,False,True,False,False,False,False,False,False,False,,100.0
157,Balvanera,,,4.0,129000.0,129000.0,True,False,True,False,False,False,False,False,False,False,False,,100.0
166,Caballito,,9.0,2.0,128000.0,128000.0,True,True,False,False,False,False,True,False,False,True,False,,6.0
167,Balvanera,,,,118000.0,118000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
178,Barrio Norte,,,1.0,93000.0,93000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
187,Barracas,1025.6410256410256,156.0,5.0,160000.0,160000.0,True,False,False,False,True,False,False,False,True,False,True,,100.0
200,Recoleta,1938.7755102040812,196.0,7.0,380000.0,380000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
203,Palermo,1312.5,240.0,,315000.0,315000.0,True,True,False,False,False,False,True,False,False,True,True,,100.0
204,Congreso,2864.0776699029125,103.0,,295000.0,295000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
